date,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,New Brunswick,Prince Edward Island,Nova Scotia,Newfoundland and Labrador
2020-01-25,,,,,1,,,,,
2020-01-28,1,,,,,,,,,
2020-02-04,,,,,2,,,,,
2020-02-05,1,,,,,,,,,
2020-02-07,2,,,,,,,,,
2020-02-17,1,,,,,,,,,
2020-02-21,1,,,,,,,,,
2020-02-24,,,,,1,,,,,
2020-02-25,1,,,,,,,,,
2020-02-27,,,,,2,,,,,
2020-02-28,,,,,,1,,,,
2020-02-29,1,,,,5,,,,,
2020-03-01,,,,,4,,,,,
2020-03-02,,,,,3,,,,,
2020-03-03,1,,,,2,,,,,
2020-03-04,4,,,,,,,,,
2020-03-05,8,1,,,3,1,,,,
2020-03-06,,1,,,5,1,,,,
2020-03-07,6,,,,,,,,,
2020-03-08,,2,,,4,1,,,,
2020-03-09,5,3,,,3,,,,,
2020-03-10,7,7,,,1,3,,,,
2020-03-11,7,5,,,6,1,1,,,
2020-03-12,7,4,,3,17,9,,,,
2020-03-13,11,6,,1,20,,,,,
2020-03-14,9,10,1,,24,7,,1,,
2020-03-15,,17,,,42,15,,,,
2020-03-16,30,,,,32,2,,,,
